year,county_fips,total_live_work,total_commute_in,total_commute_out,net_commute
2002,001,55959,90458,-138651,-48193
2002,003,4488,2280,-1727,553
2002,005,97337,180718,-150323,30395
2002,007,2152,651,-760,-109
2002,009,873,124,-213,-89
2002,011,765,311,-864,-553
2002,013,70758,75636,-36913,38723
2002,014,13,25331,-578,24753
2002,015,4148,1478,-2150,-672
2002,017,346,349,-45,304
2002,019,866,1670,-3017,-1347
2002,021,667,430,-834,-404
2002,023,362,649,-428,221
2002,025,480,345,-362,-17
2002,027,591,220,-336,-116
2002,029,5106,1799,-2603,-804
2002,031,144865,291273,-134266,157007
2002,033,199,161,-126,35
2002,035,22148,46860,-81821,-34961
2002,037,12370,13269,-5956,7313
2002,039,1549,1803,-7712,-5909
2002,041,177932,39543,-60112,-20569
2002,043,7710,2450,-7860,-5410
2002,045,13509,3451,-9293,-5842
2002,047,686,5082,-1166,3916
2002,049,1662,4147,-670,3477
2002,051,4743,1418,-1253,165
2002,053,104,94,-40,54
2002,055,1423,491,-925,-434
2002,057,254,127,-82,45
2002,059,100234,103002,-198718,-95716
2002,061,342,81,-291,-210
2002,063,2145,548,-911,-363
2002,065,1179,430,-4334,-3904
2002,067,16949,2572,-2637,-65
2002,069,87696,28796,-46081,-17285
2002,071,3908,1064,-1497,-433
2002,073,1091,981,-714,267
2002,075,6154,1514,-2248,-734
2002,077,43499,6325,-5935,390
2002,079,85,117,-99,18
2002,081,2974,407,-4568,-4161
2002,083,6795,1551,-2298,-747
2002,085,8908,2470,-3999,-1529
2002,087,8109,2294,-3490,-1196
2002,089,4870,1282,-2818,-1536
2002,091,537,542,-635,-93
2002,093,933,652,-4297,-3645
2002,095,1117,370,-420,-50
2002,097,6837,8009,-2276,5733
2002,099,4029,1350,-1123,227
2002,101,43960,10210,-16772,-6562
2002,103,1942,638,-589,49
2002,105,2732,953,-1991,-1038
2002,107,5729,6249,-1312,4937
2002,109,655,820,-394,426
2002,111,70,47,-129,-82
2002,113,2228,2195,-315,1880
2002,115,639,169,-374,-205
2002,117,5013,12699,-1868,10831
2002,119,3906,2420,-5465,-3045
2002,121,872,249,-759,-510
2002,123,42647,22713,-41952,-19239
2002,125,2966,549,-961,-412
2003,001,51381,89993,-134434,-44441
2003,003,4374,2261,-1997,264
2003,005,94998,179967,-145845,34122
2003,007,2123,627,-701,-74
2003,009,700,113,-214,-101
2003,011,799,370,-800,-430
2003,013,65390,72053,-35950,36103
2003,014,16,26167,-635,25532
2003,015,3636,1524,-2349,-825
2003,017,339,370,-46,324
2003,019,849,2075,-2882,-807
2003,021,835,505,-808,-303
2003,023,138,572,-471,101
2003,025,354,171,-422,-251
2003,027,537,221,-463,-242
2003,029,4678,1792,-3222,-1430
2003,031,135750,281270,-132394,148876
2003,033,177,153,-109,44
2003,035,23282,45198,-87209,-42011
2003,037,11939,12688,-5650,7038
2003,039,1426,1867,-7150,-5283
2003,041,169526,40042,-60091,-20049
2003,043,6772,2446,-7320,-4874
2003,045,13346,3371,-8762,-5391
2003,047,660,4352,-1072,3280
2003,049,1912,4393,-639,3754
2003,051,4110,1664,-1219,445
2003,053,80,153,-36,117
2003,055,1260,559,-866,-307
2003,057,263,144,-122,22
2003,059,99281,103260,-195037,-91777
2003,061,339,83,-304,-221
2003,063,1995,657,-893,-236
2003,065,857,420,-3787,-3367
2003,067,16606,2808,-2527,281
2003,069,73603,28290,-46360,-18070
2003,071,3946,1030,-1434,-404
2003,073,1008,902,-773,129
2003,075,5873,1913,-2400,-487
2003,077,43131,6739,-6013,726
2003,079,121,148,-131,17
2003,081,3378,521,-4408,-3887
2003,083,6058,1144,-2277,-1133
2003,085,8911,2757,-4091,-1334
2003,087,8366,2616,-3581,-965
2003,089,5232,1259,-2566,-1307
2003,091,462,564,-589,-25
2003,093,885,697,-4026,-3329
2003,095,1076,404,-485,-81
2003,097,5492,7028,-2251,4777
2003,099,3868,1294,-1052,242
2003,101,41864,10101,-16062,-5961
2003,103,1792,656,-545,111
2003,105,2443,981,-2108,-1127
2003,107,5778,5539,-1351,4188
2003,109,610,1003,-443,560
2003,111,81,85,-162,-77
2003,113,2030,2140,-288,1852
2003,115,507,174,-360,-186
2003,117,4751,12300,-1782,10518
2003,119,3611,2562,-5535,-2973
2003,121,758,228,-753,-525
2003,123,43912,24911,-41462,-16551
2003,125,3280,553,-907,-354
2004,001,54501,90327,-134707,-44380
2004,003,4213,2329,-1802,527
2004,005,91867,173547,-152718,20829
2004,007,2327,809,-780,29
2004,009,1037,166,-179,-13
2004,011,606,336,-855,-519
2004,013,71832,74635,-37329,37306
2004,014,19,28313,-667,27646
2004,015,4194,1622,-2293,-671
2004,017,293,427,-46,381
2004,019,859,1974,-2870,-896
2004,021,751,463,-852,-389
2004,023,231,629,-451,178
2004,025,364,155,-453,-298
2004,027,518,289,-416,-127
2004,029,5389,1531,-3749,-2218
2004,031,133829,289172,-127733,161439
2004,033,205,166,-97,69
2004,035,24933,47913,-92803,-44890
2004,037,11738,13296,-6567,6729
2004,039,1378,2050,-7207,-5157
2004,041,181702,42374,-60528,-18154
2004,043,7501,2407,-7671,-5264
2004,045,14073,3859,-10873,-7014
2004,047,655,4018,-1199,2819
2004,049,1807,4190,-796,3394
2004,051,4968,1824,-1340,484
2004,053,83,131,-54,77
2004,055,1171,556,-876,-320
2004,057,321,141,-95,46
2004,059,96558,102229,-194493,-92264
2004,061,314,98,-296,-198
2004,063,2087,735,-945,-210
2004,065,1304,496,-3796,-3300
2004,067,18339,3067,-2679,388
2004,069,86395,29411,-47942,-18531
2004,071,4001,1055,-1571,-516
2004,073,903,917,-743,174
2004,075,5894,1819,-2636,-817
2004,077,45527,7418,-6539,879
2004,079,108,161,-136,25
2004,081,3460,532,-4417,-3885
2004,083,7084,1379,-2450,-1071
2004,085,9551,3183,-4202,-1019
2004,087,8076,2470,-3579,-1109
2004,089,5170,1397,-2564,-1167
2004,091,530,651,-646,5
2004,093,981,821,-4122,-3301
2004,095,1127,400,-448,-48
2004,097,6899,9274,-2309,6965
2004,099,3971,1352,-927,425
2004,101,42408,10374,-16365,-5991
2004,103,1750,780,-630,150
2004,105,2587,993,-2256,-1263
2004,107,6074,5425,-1520,3905
2004,109,717,875,-447,428
2004,111,98,84,-155,-71
2004,113,2205,2145,-324,1821
2004,115,458,171,-328,-157
2004,117,4913,11704,-2321,9383
2004,119,3535,2607,-5647,-3040
2004,121,806,226,-866,-640
2004,123,44364,26170,-41974,-15804
2004,125,3059,629,-855,-226
2005,001,53795,94508,-134291,-39783
2005,003,4349,2474,-1708,766
2005,005,102073,171680,-175252,-3572
2005,007,2251,908,-816,92
2005,009,968,160,-174,-14
2005,011,622,311,-786,-475
2005,013,69280,77469,-36667,40802
2005,014,15,28992,-639,28353
2005,015,4185,1657,-1957,-300
2005,017,329,328,-78,250
2005,019,852,1991,-2874,-883
2005,021,760,491,-844,-353
2005,023,202,361,-463,-102
2005,025,363,339,-451,-112
2005,027,572,204,-384,-180
2005,029,5188,1832,-3658,-1826
2005,031,129054,292734,-130802,161932
2005,033,172,117,-156,-39
2005,035,28175,53528,-94219,-40691
2005,037,12698,13591,-6651,6940
2005,039,1362,2005,-7487,-5482
2005,041,182173,43654,-61101,-17447
2005,043,7405,2696,-8065,-5369
2005,045,14790,4272,-10950,-6678
2005,047,648,4500,-1285,3215
2005,049,2053,4340,-827,3513
2005,051,5234,1915,-1393,522
2005,053,53,150,-44,106
2005,055,1170,530,-876,-346
2005,057,298,137,-99,38
2005,059,98981,110552,-192695,-82143
2005,061,286,87,-256,-169
2005,063,1848,663,-950,-287
2005,065,1325,502,-3749,-3247
2005,067,19286,3170,-2882,288
2005,069,86186,30344,-48421,-18077
2005,071,3755,1097,-1506,-409
2005,073,923,848,-883,-35
2005,075,6015,2042,-2256,-214
2005,077,46025,7745,-6999,746
2005,079,133,160,-142,18
2005,081,3084,588,-4575,-3987
2005,083,7472,1570,-2745,-1175
2005,085,10174,3512,-4521,-1009
2005,087,7645,2528,-3667,-1139
2005,089,4749,1347,-2681,-1334
2005,091,582,662,-637,25
2005,093,999,830,-4119,-3289
2005,095,1106,411,-535,-124
2005,097,7025,9496,-2243,7253
2005,099,3703,1281,-996,285
2005,101,42388,11385,-16719,-5334
2005,103,1872,851,-683,168
2005,105,2448,914,-2330,-1416
2005,107,7289,5817,-1570,4247
2005,109,648,933,-436,497
2005,111,103,67,-183,-116
2005,113,2003,2178,-357,1821
2005,115,474,190,-368,-178
2005,117,5177,11523,-2387,9136
2005,119,3763,2605,-6007,-3402
2005,121,713,198,-875,-677
2005,123,45127,26875,-45210,-18335
2005,125,2939,676,-860,-184
2006,001,50168,102026,-118203,-16177
2006,003,4413,2415,-1835,580
2006,005,102196,174197,-175156,-959
2006,007,2464,916,-906,10
2006,009,986,189,-213,-24
2006,011,625,296,-678,-382
2006,013,89489,59973,-58526,1447
2006,014,24,30953,-652,30301
2006,015,4267,1614,-2237,-623
2006,017,352,356,-57,299
2006,019,687,2245,-2366,-121
2006,021,661,431,-943,-512
2006,023,216,363,-481,-118
2006,025,386,345,-436,-91
2006,027,595,200,-404,-204
2006,029,5520,2087,-3918,-1831
2006,031,133280,293688,-134380,159308
2006,033,166,146,-118,28
2006,035,30187,55860,-94713,-38853
2006,037,13469,14556,-7060,7496
2006,039,1567,2184,-7459,-5275
2006,041,180333,45469,-62065,-16596
2006,043,6894,2518,-7932,-5414
2006,045,16503,5490,-11377,-5887
2006,047,566,3539,-1305,2234
2006,049,2066,4470,-838,3632
2006,051,5543,1942,-1499,443
2006,053,63,151,-33,118
2006,055,1127,606,-902,-296
2006,057,309,138,-115,23
2006,059,98754,108504,-196469,-87965
2006,061,297,93,-292,-199
2006,063,2065,557,-929,-372
2006,065,1385,535,-3895,-3360
2006,067,19791,3365,-2970,395
2006,069,78033,36791,-37542,-751
2006,071,3917,1200,-1571,-371
2006,073,865,872,-978,-106
2006,075,5828,2126,-2540,-414
2006,077,47354,8154,-8362,-208
2006,079,124,203,-148,55
2006,081,3796,579,-4633,-4054
2006,083,7502,1520,-2833,-1313
2006,085,10330,3631,-4833,-1202
2006,087,8211,2751,-3666,-915
2006,089,4847,1308,-2676,-1368
2006,091,626,673,-589,84
2006,093,1154,884,-4169,-3285
2006,095,1165,404,-469,-65
2006,097,7176,9891,-2614,7277
2006,099,3425,1208,-1091,117
2006,101,43150,10756,-16877,-6121
2006,103,1934,914,-751,163
2006,105,2471,1053,-2283,-1230
2006,107,8018,5964,-1708,4256
2006,109,628,1031,-465,566
2006,111,63,97,-166,-69
2006,113,2082,2290,-390,1900
2006,115,498,205,-376,-171
2006,117,5662,12765,-2437,10328
2006,119,4014,2649,-5749,-3100
2006,121,729,216,-968,-752
2006,123,46712,26924,-46483,-19559
2006,125,2892,685,-872,-187
2007,001,56148,103736,-146408,-42672
2007,003,3946,2864,-2209,655
2007,005,97969,180129,-176581,3548
2007,007,2289,1233,-1030,203
2007,009,926,291,-256,35
2007,011,534,398,-875,-477
2007,013,76111,72285,-57351,14934
2007,014,3788,27207,-16677,10530
2007,015,3988,1680,-2453,-773
2007,017,281,353,-102,251
2007,019,810,2228,-2807,-579
2007,021,663,433,-1036,-603
2007,023,228,477,-257,220
2007,025,375,414,-587,-173
2007,027,569,208,-469,-261
2007,029,5796,2243,-4686,-2443
2007,031,126123,310137,-132638,177499
2007,033,102,202,-173,29
2007,035,32710,59699,-103236,-43537
2007,037,12874,16575,-7947,8628
2007,039,1390,1982,-7905,-5923
2007,041,177891,55680,-47189,8491
2007,043,7611,3076,-9147,-6071
2007,045,15672,8472,-12517,-4045
2007,047,400,4205,-1056,3149
2007,049,1916,5112,-715,4397
2007,051,4978,2868,-1612,1256
2007,053,40,144,-99,45
2007,055,962,800,-641,159
2007,057,243,187,-188,-1
2007,059,92486,118795,-194016,-75221
2007,061,294,117,-195,-78
2007,063,2045,736,-860,-124
2007,065,1286,587,-3820,-3233
2007,067,18250,4569,-4653,-84
2007,069,85159,35933,-48772,-12839
2007,071,3913,1516,-1502,14
2007,073,850,976,-927,49
2007,075,5423,2597,-3433,-836
2007,077,50200,10764,-11639,-875
2007,079,98,258,-146,112
2007,081,3025,788,-4302,-3514
2007,083,6094,2455,-2890,-435
2007,085,10183,4215,-6025,-1810
2007,087,7501,3006,-5064,-2058
2007,089,4622,1604,-3051,-1447
2007,091,573,852,-554,298
2007,093,1097,989,-4484,-3495
2007,095,1060,420,-597,-177
2007,097,7445,10422,-2580,7842
2007,099,3434,1452,-1535,-83
2007,101,41578,11726,-20474,-8748
2007,103,1931,1476,-579,897
2007,105,2454,1115,-2454,-1339
2007,107,6984,7598,-1894,5704
2007,109,697,885,-615,270
2007,111,77,109,-130,-21
2007,113,1721,2925,-512,2413
2007,115,568,265,-455,-190
2007,117,4427,12471,-3161,9310
2007,119,3523,2925,-5387,-2462
2007,121,719,292,-1077,-785
2007,123,45168,30931,-61842,-30911
2007,125,2704,974,-1070,-96
2008,001,54845,106233,-147421,-41188
2008,003,4140,3188,-2303,885
2008,005,99586,185455,-174719,10736
2008,007,2194,1172,-969,203
2008,009,826,253,-247,6
2008,011,492,359,-832,-473
2008,013,81905,77258,-56731,20527
2008,014,3704,28996,-16167,12829
2008,015,4141,1688,-2360,-672
2008,017,299,438,-104,334
2008,019,820,2456,-2694,-238
2008,021,433,283,-1199,-916
2008,023,170,316,-293,23
2008,025,411,439,-579,-140
2008,027,552,249,-445,-196
2008,029,5723,2373,-4740,-2367
2008,031,124097,306473,-143582,162891
2008,033,183,208,-184,24
2008,035,32845,64490,-100648,-36158
2008,037,12652,17154,-7552,9602
2008,039,1336,2041,-7386,-5345
2008,041,174037,49685,-59416,-9731
2008,043,7009,3121,-8344,-5223
2008,045,15672,8524,-13823,-5299
2008,047,565,4128,-1427,2701
2008,049,1708,5349,-829,4520
2008,051,4888,2715,-1714,1001
2008,053,67,123,-86,37
2008,055,920,642,-901,-259
2008,057,267,177,-151,26
2008,059,89583,117037,-190510,-73473
2008,061,269,114,-194,-80
2008,063,1952,776,-898,-122
2008,065,1340,613,-3677,-3064
2008,067,17841,5196,-4538,658
2008,069,85983,38031,-49406,-11375
2008,071,3509,1492,-2032,-540
2008,073,687,924,-784,140
2008,075,5423,2759,-3434,-675
2008,077,51514,13130,-13299,-169
2008,079,104,243,-116,127
2008,081,3067,1003,-4205,-3202
2008,083,6904,2129,-3422,-1293
2008,085,10144,4482,-6201,-1719
2008,087,7982,3151,-4995,-1844
2008,089,4405,1557,-3143,-1586
2008,091,670,737,-666,71
2008,093,1044,987,-4391,-3404
2008,095,952,382,-677,-295
2008,097,7465,10769,-2476,8293
2008,099,3536,1392,-1491,-99
2008,101,41948,13245,-19161,-5916
2008,103,1998,1376,-764,612
2008,105,2446,1045,-2479,-1434
2008,107,7630,6482,-2396,4086
2008,109,647,772,-551,221
2008,111,66,121,-78,43
2008,113,2030,2763,-500,2263
2008,115,379,291,-498,-207
2008,117,5066,12697,-3317,9380
2008,119,3953,2626,-5754,-3128
2008,121,686,304,-1129,-825
2008,123,46596,32464,-64164,-31700
2008,125,2691,981,-1120,-139
2009,001,51948,99847,-143088,-43241
2009,003,3519,3416,-2309,1107
2009,005,86314,172675,-168471,4204
2009,007,2574,835,-1341,-506
2009,009,1018,252,-369,-117
2009,011,558,513,-809,-296
2009,013,79056,70342,-55665,14677
2009,014,268,28806,-6463,22343
2009,015,4160,1703,-2523,-820
2009,017,493,172,-238,-66
2009,019,1141,1497,-3136,-1639
2009,021,612,204,-1724,-1520
2009,023,298,225,-561,-336
2009,025,425,441,-654,-213
2009,027,582,211,-354,-143
2009,029,5558,2456,-4715,-2259
2009,031,124634,305923,-129126,176797
2009,033,271,101,-252,-151
2009,035,26381,59383,-98548,-39165
2009,037,17897,10373,-10654,-281
2009,039,1578,1542,-9475,-7933
2009,041,162610,50600,-55520,-4920
2009,043,6450,2976,-8110,-5134
2009,045,13605,8373,-10933,-2560
2009,047,956,3505,-852,2653
2009,049,4712,1934,-1744,190
2009,051,4955,2021,-1954,67
2009,053,112,85,-151,-66
2009,055,1058,667,-1084,-417
2009,057,375,112,-265,-153
2009,059,90069,121187,-174607,-53420
2009,061,301,90,-224,-134
2009,063,1743,854,-1165,-311
2009,065,1233,689,-2753,-2064
2009,067,15999,5437,-4428,1009
2009,069,81605,37087,-47417,-10330
2009,071,3440,1525,-2278,-753
2009,073,906,824,-1110,-286
2009,075,5242,3136,-3483,-347
2009,077,47340,14965,-12198,2767
2009,079,211,120,-159,-39
2009,081,2873,1299,-3782,-2483
2009,083,6443,2157,-3076,-919
2009,085,8796,4396,-4984,-588
2009,087,7627,3301,-5409,-2108
2009,089,4254,1866,-3219,-1353
2009,091,822,516,-672,-156
2009,093,1250,709,-4622,-3913
2009,095,981,464,-728,-264
2009,097,7769,8705,-2509,6196
2009,099,3207,1427,-1922,-495
2009,101,38231,13853,-18071,-4218
2009,103,2101,1017,-872,145
2009,105,2635,1090,-2574,-1484
2009,107,9428,4539,-3510,1029
2009,109,532,824,-766,58
2009,111,139,42,-145,-103
2009,113,2105,1393,-534,859
2009,115,471,307,-487,-180
2009,117,9353,7741,-6254,1487
2009,119,4174,2393,-6140,-3747
2009,121,563,270,-1290,-1020
2009,123,45031,30023,-64134,-34111
2009,125,2482,1100,-1158,-58
2010,001,52272,101052,-138168,-37116
2010,003,3958,3596,-2359,1237
2010,005,93255,176948,-171636,5312
2010,007,2077,649,-1198,-549
2010,009,974,242,-382,-140
2010,011,663,631,-849,-218
2010,013,79605,72534,-51565,20969
2010,014,271,30861,-6424,24437
2010,015,4150,1597,-2687,-1090
2010,017,437,209,-254,-45
2010,019,987,1417,-3364,-1947
2010,021,629,230,-1685,-1455
2010,023,257,138,-592,-454
2010,025,351,537,-639,-102
2010,027,573,219,-502,-283
2010,029,5395,2554,-4892,-2338
2010,031,126256,304732,-134454,170278
2010,033,244,88,-374,-286
2010,035,32899,62826,-102794,-39968
2010,037,17005,9393,-10836,-1443
2010,039,1510,1412,-10249,-8837
2010,041,157311,48884,-57624,-8740
2010,043,7244,3872,-8546,-4674
2010,045,11972,7722,-10805,-3083
2010,047,989,4312,-1580,2732
2010,049,4665,1644,-1909,-265
2010,051,5199,1927,-2009,-82
2010,053,121,46,-145,-99
2010,055,1079,475,-1257,-782
2010,057,392,133,-311,-178
2010,059,93735,124900,-177269,-52369
2010,061,354,97,-289,-192
2010,063,1937,923,-1185,-262
2010,065,1027,637,-2414,-1777
2010,067,14431,5342,-4572,770
2010,069,78822,36997,-47133,-10136
2010,071,3061,1428,-2578,-1150
2010,073,997,906,-1084,-178
2010,075,4982,3054,-3677,-623
2010,077,42767,14565,-12100,2465
2010,079,179,127,-170,-43
2010,081,2749,1260,-3699,-2439
2010,083,6330,2441,-3148,-707
2010,085,9056,4873,-5154,-281
2010,087,7410,3593,-5198,-1605
2010,089,4492,1889,-3398,-1509
2010,091,678,459,-831,-372
2010,093,1286,652,-4926,-4274
2010,095,1040,509,-825,-316
2010,097,7503,8499,-2639,5860
2010,099,2842,1467,-2047,-580
2010,101,38665,14530,-18767,-4237
2010,103,1847,1140,-789,351
2010,105,2322,1217,-2730,-1513
2010,107,8922,3692,-3841,-149
2010,109,535,788,-808,-20
2010,111,104,47,-111,-64
2010,113,2899,1592,-638,954
2010,115,506,283,-482,-199
2010,117,8635,7010,-6373,637
2010,119,3990,2591,-6327,-3736
2010,121,367,211,-1400,-1189
2010,123,40931,29455,-65739,-36284
2010,125,2562,1129,-1143,-14
2011,001,54751,108502,-138156,-29654
2011,003,3440,3586,-2130,1456
2011,005,98630,185397,-170927,14470
2011,007,2253,917,-1496,-579
2011,009,859,349,-717,-368
2011,011,523,579,-660,-81
2011,013,78431,77590,-53369,24221
2011,014,3511,25739,-23033,2706
2011,015,3964,2028,-2787,-759
2011,017,313,424,-269,155
2011,019,776,2147,-4174,-2027
2011,021,411,477,-1464,-987
2011,023,232,248,-1560,-1312
2011,025,309,591,-603,-12
2011,027,479,296,-643,-347
2011,029,4760,3009,-4544,-1535
2011,031,127936,308496,-138604,169892
2011,033,200,175,-383,-208
2011,035,32738,61737,-106291,-44554
2011,037,15970,11400,-12153,-753
2011,039,1322,1581,-10334,-8753
2011,041,173446,47850,-54184,-6334
2011,043,7170,3762,-8815,-5053
2011,045,13162,8137,-11149,-3012
2011,047,633,5006,-1867,3139
2011,049,2582,3815,-4460,-645
2011,051,4757,2479,-2173,306
2011,053,133,79,-312,-233
2011,055,761,489,-1024,-535
2011,057,201,316,-1416,-1100
2011,059,89762,121716,-170587,-48871
2011,061,225,230,-316,-86
2011,063,1845,1127,-1070,57
2011,065,902,865,-2413,-1548
2011,067,17102,6429,-4622,1807
2011,069,83881,40253,-47619,-7366
2011,071,3158,1307,-2966,-1659
2011,073,757,1248,-1340,-92
2011,075,5233,2940,-3537,-597
2011,077,47105,12602,-12371,231
2011,079,76,200,-191,9
2011,081,2504,1353,-3404,-2051
2011,083,6245,2457,-3485,-1028
2011,085,8600,3892,-7342,-3450
2011,087,7376,3822,-5354,-1532
2011,089,4050,2114,-3471,-1357
2011,091,534,605,-858,-253
2011,093,770,1082,-5802,-4720
2011,095,965,568,-806,-238
2011,097,6462,9262,-2563,6699
2011,099,2673,1662,-1825,-163
2011,101,41809,13622,-17787,-4165
2011,103,1883,1449,-1234,215
2011,105,2028,1524,-2351,-827
2011,107,8213,4565,-4608,-43
2011,109,522,1049,-1331,-282
2011,111,39,181,-201,-20
2011,113,2145,2470,-1128,1342
2011,115,386,343,-459,-116
2011,117,7117,10302,-5832,4470
2011,119,3827,3015,-7221,-4206
2011,121,701,350,-1256,-906
2011,123,44940,33353,-74147,-40794
2011,125,2481,1238,-1000,238
2012,001,56137,110073,-142722,-32649
2012,003,3560,3348,-2381,967
2012,005,100202,189910,-174051,15859
2012,007,2070,902,-1469,-567
2012,009,823,326,-840,-514
2012,011,470,531,-744,-213
2012,013,76525,76419,-54403,22016
2012,014,3859,27787,-23938,3849
2012,015,3900,2237,-2698,-461
2012,017,260,313,-335,-22
2012,019,633,2376,-4104,-1728
2012,021,405,583,-1738,-1155
2012,023,336,379,-1767,-1388
2012,025,307,721,-653,68
2012,027,471,256,-676,-420
2012,029,4663,3458,-4465,-1007
2012,031,131968,313365,-144214,169151
2012,033,195,179,-440,-261
2012,035,36078,64749,-108340,-43591
2012,037,14059,11155,-13084,-1929
2012,039,1407,1753,-10963,-9210
2012,041,172943,48328,-52860,-4532
2012,043,6475,3556,-8930,-5374
2012,045,13514,8292,-11487,-3195
2012,047,624,5043,-1904,3139
2012,049,2240,3904,-4460,-556
2012,051,4338,2961,-2190,771
2012,053,111,83,-371,-288
2012,055,1035,590,-1285,-695
2012,057,155,316,-1572,-1256
2012,059,90966,126786,-173217,-46431
2012,061,235,239,-300,-61
2012,063,1779,1182,-1249,-67
2012,065,548,542,-2314,-1772
2012,067,16079,6143,-4895,1248
